time,price_ETH,price_usd,token_id,quantity,source,price_WETH,price_USDC
2021-09-01,0.06,193.96403,1593,1,,,
2021-09-01,0.06,193.96403,1728,1,,,
2021-09-01,0.06,193.96403,1729,1,,,
2021-09-01,0.06,193.96403,1730,1,,,
2021-09-01,0.06,193.96403,1731,1,,,
2021-09-01,0.06,193.96403,1732,1,,,
2021-09-01,0.06,193.96403,1733,1,,,
2021-09-01,0.06,193.96403,1734,1,,,
2021-09-01,0.06,193.96403,1735,1,,,
2021-09-01,0.06,193.96403,1736,1,,,
2021-09-01,0.06,193.96403,1737,1,,,
2021-09-01,0.06,193.96403,1727,1,,,
2021-09-01,0.06,193.96403,1738,1,,,
2021-09-01,0.06,193.96403,1740,1,,,
2021-09-01,0.06,193.96403,1741,1,,,
2021-09-01,0.06,193.96403,1742,1,,,
2021-09-01,0.06,193.96403,1743,1,,,
2021-09-01,0.06,193.96403,1744,1,,,
2021-09-01,0.06,193.96403,1745,1,,,
2021-09-01,0.06,193.96403,1746,1,,,
2021-09-01,0.06,193.96403,1747,1,,,
2021-09-01,0.06,193.96403,1748,1,,,
2021-09-01,0.06,193.96403,1749,1,,,
2021-09-01,0.06,193.96403,1739,1,,,
2021-09-01,0.06,193.96403,1726,1,,,
2021-09-01,0.06,193.96403,1725,1,,,
2021-09-01,0.06,193.96403,1724,1,,,
2021-09-01,0.06,193.96403,1701,1,,,
2021-09-01,0.06,193.96403,1702,1,,,
2021-09-01,0.06,193.96403,1703,1,,,
2021-09-01,0.06,193.96403,1704,1,,,
2021-09-01,0.06,193.96403,1705,1,,,
2021-09-01,0.06,193.96403,1706,1,,,
2021-09-01,0.06,193.96403,1707,1,,,
2021-09-01,0.06,193.96403,1708,1,,,
2021-09-01,0.06,193.96403,1709,1,,,
2021-09-01,0.06,193.96403,1710,1,,,
2021-09-01,0.06,193.96403,1711,1,,,
2021-09-01,0.06,193.96403,1712,1,,,
2021-09-01,0.06,193.96403,1713,1,,,
2021-09-01,0.06,193.96403,1714,1,,,
2021-09-01,0.06,193.96403,1715,1,,,
2021-09-01,0.06,193.96403,1716,1,,,
2021-09-01,0.06,193.96403,1717,1,,,
2021-09-01,0.06,193.96403,1718,1,,,
2021-09-01,0.06,193.96403,1719,1,,,
2021-09-01,0.06,193.96403,1720,1,,,
2021-09-01,0.06,193.96403,1721,1,,,
2021-09-01,0.06,193.96403,1722,1,,,
2021-09-01,0.06,193.96403,1723,1,,,
2021-09-01,0.06,193.96403,1750,1,,,
2021-09-01,0.06,193.96403,1700,1,,,
2021-09-01,0.06,193.96403,1751,1,,,
2021-09-01,0.06,193.96403,1753,1,,,
2021-09-01,0.06,193.96403,1781,1,,,
2021-09-01,0.06,193.96403,1782,1,,,
2021-09-01,0.06,193.96403,1783,1,,,
